date,color,quantity_sold
2002-03-14,red,10
2002-03-14,blue,6
2002-03-14,green,4
2002-03-14,yellow,4
2002-03-14,black,14
2002-03-14,white,6
2002-03-14,purple,4
2002-03-14,orange,11
2002-03-14,pink,5
2002-03-14,gray,11
2002-03-14,brown,1
2002-03-14,cyan,8
2002-03-14,magenta,7
2002-03-14,navy,11
2002-03-14,teal,8
2002-03-14,maroon,2
2002-03-14,lime,10
2002-03-14,gold,7
2002-03-14,silver,1
2002-03-14,beige,3
2002-03-14,turquoise,9
2002-03-14,indigo,3
2002-03-15,red,9
2002-03-15,blue,11
2002-03-15,green,7
2002-03-15,yellow,1
2002-03-15,black,8
2002-03-15,white,1
2002-03-15,purple,0
2002-03-15,orange,1
2002-03-15,pink,6
2002-03-15,gray,3
2002-03-15,brown,1
2002-03-15,cyan,5
2002-03-15,magenta,1
2002-03-15,navy,11
2002-03-15,teal,6
2002-03-15,maroon,5
2002-03-15,lime,6
2002-03-15,gold,7
2002-03-15,silver,6
2002-03-15,beige,3
2002-03-15,turquoise,6
2002-03-15,indigo,7
2002-03-16,red,10
2002-03-16,blue,6
2002-03-16,green,4
2002-03-16,yellow,3
2002-03-16,black,6
2002-03-16,white,8
2002-03-16,purple,7
2002-03-16,orange,9
2002-03-16,pink,6
2002-03-16,gray,6
2002-03-16,brown,5
2002-03-16,cyan,3
2002-03-16,magenta,1
2002-03-16,navy,8
2002-03-16,teal,2
2002-03-16,maroon,5
2002-03-16,lime,11
2002-03-16,gold,15
2002-03-16,silver,1
2002-03-16,beige,7
2002-03-16,turquoise,2
2002-03-16,indigo,5
2002-03-17,red,14
2002-03-17,blue,5
2002-03-17,green,6
2002-03-17,yellow,3
2002-03-17,black,14
2002-03-17,white,6
2002-03-17,purple,5
2002-03-17,orange,8
2002-03-17,pink,5
2002-03-17,gray,8
2002-03-17,brown,11
2002-03-17,cyan,9
2002-03-17,magenta,4
2002-03-17,navy,11
2002-03-17,teal,9
2002-03-17,maroon,9
2002-03-17,lime,4
2002-03-17,gold,13
2002-03-17,silver,7
2002-03-17,beige,1
2002-03-17,turquoise,0
2002-03-17,indigo,7
2002-03-18,red,5
2002-03-18,blue,8
2002-03-18,green,9
2002-03-18,yellow,9
2002-03-18,black,5
2002-03-18,white,3
2002-03-18,purple,1
2002-03-18,orange,8
2002-03-18,pink,1
2002-03-18,gray,10
2002-03-18,brown,11
2002-03-18,cyan,0
2002-03-18,magenta,10
2002-03-18,navy,4
2002-03-18,teal,0
2002-03-18,maroon,3
2002-03-18,lime,8
2002-03-18,gold,11
2002-03-18,silver,6
2002-03-18,beige,5
2002-03-18,turquoise,3
2002-03-18,indigo,3
2002-03-19,red,15
2002-03-19,blue,0
2002-03-19,green,2
2002-03-19,yellow,10
2002-03-19,black,8
2002-03-19,white,3
2002-03-19,purple,6
2002-03-19,orange,7
2002-03-19,pink,7
2002-03-19,gray,0
2002-03-19,brown,5
2002-03-19,cyan,1
2002-03-19,magenta,4
