date,color,quantity_sold
2024-01-01,red,11
2024-01-01,blue,2
2024-01-01,green,3
2024-01-01,yellow,5
2024-01-01,black,8
2024-01-01,white,9
2024-01-01,purple,0
2024-01-01,orange,2
2024-01-01,pink,3
2024-01-01,gray,2
2024-01-01,brown,1
2024-01-01,cyan,3
2024-01-01,magenta,6
2024-01-01,navy,5
2024-01-01,teal,3
2024-01-01,maroon,8
2024-01-01,lime,4
2024-01-01,gold,7
2024-01-01,silver,2
2024-01-01,beige,5
2024-01-01,turquoise,3
2024-01-01,indigo,3
2024-01-02,red,8
2024-01-02,blue,7
2024-01-02,green,0
2024-01-02,yellow,2
2024-01-02,black,7
2024-01-02,white,0
2024-01-02,purple,12
2024-01-02,orange,6
2024-01-02,pink,9
2024-01-02,gray,2
2024-01-02,brown,8
2024-01-02,cyan,5
2024-01-02,magenta,8
2024-01-02,navy,5
2024-01-02,teal,4
2024-01-02,maroon,0
2024-01-02,lime,7
2024-01-02,gold,10
2024-01-02,silver,6
2024-01-02,beige,0
2024-01-02,turquoise,1
2024-01-02,indigo,3
2024-01-03,red,9
2024-01-03,blue,10
2024-01-03,green,5
2024-01-03,yellow,5
2024-01-03,black,7
2024-01-03,white,8
2024-01-03,purple,8
2024-01-03,orange,7
2024-01-03,pink,3
2024-01-03,gray,2
2024-01-03,brown,8
2024-01-03,cyan,9
2024-01-03,magenta,8
2024-01-03,navy,3
2024-01-03,teal,6
2024-01-03,maroon,5
2024-01-03,lime,11
2024-01-03,gold,14
2024-01-03,silver,0
2024-01-03,beige,2
2024-01-03,turquoise,8
2024-01-03,indigo,0
2024-01-04,red,4
2024-01-04,blue,0
2024-01-04,green,5
2024-01-04,yellow,11
2024-01-04,black,13
2024-01-04,white,12
2024-01-04,purple,0
2024-01-04,orange,4
2024-01-04,pink,3
2024-01-04,gray,12
2024-01-04,brown,0
2024-01-04,cyan,6
2024-01-04,magenta,5
2024-01-04,navy,11
2024-01-04,teal,10
2024-01-04,maroon,5
2024-01-04,lime,7
2024-01-04,gold,8
2024-01-04,silver,1
2024-01-04,beige,0
2024-01-04,turquoise,3
2024-01-04,indigo,7
2024-01-05,red,13
2024-01-05,blue,10
2024-01-05,green,0
2024-01-05,yellow,2
2024-01-05,black,10
2024-01-05,white,1
2024-01-05,purple,5
2024-01-05,orange,2
2024-01-05,pink,7
2024-01-05,gray,7
2024-01-05,brown,9
2024-01-05,cyan,1
2024-01-05,magenta,7
2024-01-05,navy,6
2024-01-05,teal,10
2024-01-05,maroon,12
2024-01-05,lime,3
2024-01-05,gold,15
2024-01-05,silver,5
2024-01-05,beige,6
2024-01-05,turquoise,7
2024-01-05,indigo,8
2024-01-06,red,11
2024-01-06,blue,9
2024-01-06,green,8
2024-01-06,yellow,3
2024-01-06,black,13
2024-01-06,white,8
2024-01-06,purple,4
2024-01-06,orange,9
2024-01-06,pink,10
2024-01-06,gray,9
2024-01-06,brown,9
2024-01-06,cyan,2
2024-01-06,magenta,7
2024-01-06,navy,8
2024-01-06,teal,9
2024-01-06,maroon,1
2024-01-06,lime,3
2024-01-06,gold,15
2024-01-06,silver,2
2024-01-06,beige,7
2024-01-06,turquoise,9
2024-01-06,indigo,4
2024-01-07,red,14
2024-01-07,blue,5
2024-01-07,green,0
2024-01-07,yellow,3
2024-01-07,black,6
2024-01-07,white,6
2024-01-07,purple,0
2024-01-07,orange,1
2024-01-07,pink,3
2024-01-07,gray,4
2024-01-07,brown,0
2024-01-07,cyan,7
2024-01-07,magenta,8
2024-01-07,navy,2
2024-01-07,teal,0
2024-01-07,maroon,4
2024-01-07,lime,8
2024-01-07,gold,8
2024-01-07,silver,0
2024-01-07,beige,0
2024-01-07,turquoise,7
2024-01-07,indigo,3
2024-01-08,red,13
2024-01-08,blue,1
2024-01-08,green,0
2024-01-08,yellow,9
2024-01-08,black,9
2024-01-08,white,10
2024-01-08,purple,2
2024-01-08,orange,2
2024-01-08,pink,5
2024-01-08,gray,5
2024-01-08,brown,10
2024-01-08,cyan,0
2024-01-08,magenta,5
2024-01-08,navy,7
2024-01-08,teal,6
2024-01-08,maroon,10
2024-01-08,lime,0
2024-01-08,gold,7
2024-01-08,silver,12
2024-01-08,beige,1
2024-01-08,turquoise,4
2024-01-08,indigo,4
2024-01-09,red,13
2024-01-09,blue,9
2024-01-09,green,0
2024-01-09,yellow,4
2024-01-09,black,8
2024-01-09,white,0
2024-01-09,purple,8
2024-01-09,orange,5
2024-01-09,pink,10
2024-01-09,gray,3
2024-01-09,brown,7
2024-01-09,cyan,0
2024-01-09,magenta,0
2024-01-09,navy,10
2024-01-09,teal,4
2024-01-09,maroon,6
2024-01-09,lime,6
2024-01-09,gold,8
2024-01-09,silver,11
2024-01-09,beige,9
2024-01-09,turquoise,7
2024-01-09,indigo,9
2024-01-10,red,11
2024-01-10,blue,3
2024-01-10,green,2
2024-01-10,yellow,3
2024-01-10,black,12
2024-01-10,white,0
2024-01-10,purple,2
2024-01-10,orange,0
2024-01-10,pink,8
2024-01-10,gray,10
2024-01-10,brown,5
2024-01-10,cyan,2
2024-01-10,magenta,10
2024-01-10,navy,1
2024-01-10,teal,6
2024-01-10,maroon,5
2024-01-10,lime,9
2024-01-10,gold,15
2024-01-10,silver,2
2024-01-10,beige,6
2024-01-10,turquoise,0
2024-01-10,indigo,5
2024-01-11,red,8
2024-01-11,blue,8
2024-01-11,green,4
2024-01-11,yellow,2
2024-01-11,black,8
2024-01-11,white,11
2024-01-11,purple,0
2024-01-11,orange,4
2024-01-11,pink,7
2024-01-11,gray,8
2024-01-11,brown,7
2024-01-11,cyan,5
2024-01-11,magenta,9
2024-01-11,navy,11
2024-01-11,teal,9
2024-01-11,maroon,7
2024-01-11,lime,2
2024-01-11,gold,14
2024-01-11,silver,0
2024-01-11,beige,2
2024-01-11,turquoise,6
2024-01-11,indigo,0
2024-01-12,red,10
2024-01-12,blue,0
2024-01-12,green,6
2024-01-12,yellow,11
2024-01-12,black,6
2024-01-12,white,9
2024-01-12,purple,4
2024-01-12,orange,12
2024-01-12,pink,5
2024-01-12,gray,0
2024-01-12,brown,3
2024-01-12,cyan,3
2024-01-12,magenta,10
2024-01-12,navy,5
2024-01-12,teal,4
2024-01-12,maroon,4
2024-01-12,lime,5
2024-01-12,gold,9
2024-01-12,silver,10
2024-01-12,beige,5
2024-01-12,turquoise,3
2024-01-12,indigo,7
2024-01-13,red,9
2024-01-13,blue,7
2024-01-13,green,1
2024-01-13,yellow,10
2024-01-13,black,15
2024-01-13,white,0
2024-01-13,purple,7
2024-01-13,orange,1
2024-01-13,pink,3
2024-01-13,gray,3
2024-01-13,brown,4
2024-01-13,cyan,2
2024-01-13,magenta,2
2024-01-13,navy,5
2024-01-13,teal,0
2024-01-13,maroon,10
2024-01-13,lime,9
2024-01-13,gold,7
2024-01-13,silver,7
2024-01-13,beige,2
2024-01-13,turquoise,3
2024-01-13,indigo,5
2024-01-14,red,15
2024-01-14,blue,1
2024-01-14,green,8
2024-01-14,yellow,8
2024-01-14,black,10
2024-01-14,white,10
2024-01-14,purple,1
2024-01-14,orange,10
2024-01-14,pink,9
2024-01-14,gray,0
2024-01-14,brown,6
2024-01-14,cyan,0
2024-01-14,magenta,9
2024-01-14,navy,7
2024-01-14,teal,9
2024-01-14,maroon,6
2024-01-14,lime,5
2024-01-14,gold,15
2024-01-14,silver,8
2024-01-14,beige,0
2024-01-14,turquoise,4
2024-01-14,indigo,0
2024-01-15,red,15
2024-01-15,blue,11
2024-01-15,green,7
2024-01-15,yellow,7
2024-01-15,black,11
2024-01-15,white,11
2024-01-15,purple,6
2024-01-15,orange,8
2024-01-15,pink,3
2024-01-15,gray,2
2024-01-15,brown,4
2024-01-15,cyan,0
2024-01-15,magenta,4
2024-01-15,navy,7
2024-01-15,teal,6
2024-01-15,maroon,4
2024-01-15,lime,4
2024-01-15,gold,10
2024-01-15,silver,9
2024-01-15,beige,9
2024-01-15,turquoise,3
2024-01-15,indigo,5
2024-01-16,red,14
2024-01-16,blue,7
2024-01-16,green,0
2024-01-16,yellow,7
2024-01-16,black,12
2024-01-16,white,3
2024-01-16,purple,10
2024-01-16,orange,6
2024-01-16,pink,8
2024-01-16,gray,3
2024-01-16,brown,5
2024-01-16,cyan,5
2024-01-16,magenta,7
2024-01-16,navy,4
2024-01-16,teal,5
2024-01-16,maroon,5
2024-01-16,lime,7
2024-01-16,gold,8
2024-01-16,silver,5
2024-01-16,beige,6
2024-01-16,turquoise,8
